signal_type,entry_time,entry_price,exit_price,exit_reason,hold_hours,pnl_pct,pnl_actual
sell_3_original,2026-03-07 01:05:00,67485.24,67282.28,timeout,24.0,0.3007472448790378,0.04511208673185567
buy_3_original,2026-03-07 01:35:00,67028.45,67237.38,timeout,24.0,0.31170346323092296,0.04675551948463844
sell_3_original,2026-03-07 02:30:00,67609.08,67200.9,timeout,24.0,0.6037354745841943,0.09056032118762915
buy_3_original,2026-03-07 02:55:00,65684.77,66925.44,timeout,24.0,1.8888244565673264,0.28332366848509893
sell_3_original,2026-03-07 03:25:00,66309.53,67967.26825,stop_loss,24.0,-2.499999999999992,-0.3749999999999988
buy_3_original,2026-03-07 03:45:00,66057.37,66985.0,timeout,24.0,1.404279340821478,0.2106419011232217
sell_3_original,2026-03-07 04:15:00,66514.31,68177.16775,stop_loss,24.0,-2.4999999999999933,-0.374999999999999
buy_3_original,2026-03-07 04:50:00,65821.97,66626.99,timeout,24.0,1.2230262935004894,0.1834539440250734
sell_3_original,2026-03-07 05:50:00,66773.0,67234.02,timeout,24.0,-0.6904287661180478,-0.10356431491770716
buy_3_original,2026-03-07 06:10:00,66009.1,67099.27,timeout,24.0,1.6515450142480328,0.2477317521372049
sell_3_original,2026-03-07 06:50:00,66707.58,67134.81,timeout,24.0,-0.6404519546354341,-0.09606779319531512
buy_3_original,2026-03-21 16:45:00,66231.96,68808.28,timeout,24.0,3.8898441175529035,0.5834766176329355
sell_3_original,2026-03-21 17:10:00,66750.38,68419.1395,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-21 17:55:00,66432.19,68673.02,timeout,24.0,3.3731087293674973,0.5059663094051245
sell_3_original,2026-03-21 18:15:00,66730.0,68398.25,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-21 18:40:00,66144.06,68470.01,timeout,24.0,3.51649112558255,0.5274736688373824
sell_3_original,2026-03-21 19:10:00,66757.3,68426.2325,stop_loss,24.0,-2.499999999999993,-0.37499999999999895
buy_3_original,2026-03-21 20:00:00,65730.17,68302.44,timeout,24.0,3.9133779815266023,0.5870066972289903
sell_3_original,2026-03-21 20:55:00,66638.25,68304.20624999999,stop_loss,24.0,-2.4999999999999822,-0.37499999999999734
buy_3_original,2026-03-21 21:20:00,65815.98,67670.95,timeout,24.0,2.818418870310829,0.42276283054662434
